trade_id,trade_date,settlement_date,status,amount,counterparty,instrument_type,currency
6254,01/01/2024,03/01/2024,Settled,19063.01,Counterparty_36,FX,GBP
180,01/01/2024,03/01/2024,Settled,138383.42,Counterparty_13,Derivative,EUR
8293,01/01/2024,03/01/2024,Settled,71845.28,Counterparty_23,FX,EUR
3963,01/01/2024,03/01/2024,Settled,29623.78,Counterparty_19,Derivative,NGN
6609,01/01/2024,03/01/2024,Settled,936633.65,Counterparty_38,FX,USD
7571,01/01/2024,03/01/2024,Settled,367802.46,Counterparty_38,Stock,NGN
7912,01/01/2024,03/01/2024,Settled,413498.28,Counterparty_23,Bond,USD
3687,01/01/2024,03/01/2024,Settled,929215.57,Counterparty_3,FX,NGN
6471,01/01/2024,03/01/2024,Settled,658291.96,Counterparty_21,Derivative,NGN
4288,01/01/2024,03/01/2024,Settled,577404.63,Counterparty_48,Stock,NGN
5745,01/01/2024,03/01/2024,Settled,164452.59,Counterparty_48,Stock,USD
7214,01/01/2024,03/01/2024,Settled,509604.27,Counterparty_43,Stock,GBP
7538,01/01/2024,03/01/2024,Settled,351624.65,Counterparty_44,Derivative,USD
2028,01/01/2024,03/01/2024,Settled,981315.79,Counterparty_29,FX,EUR
4200,01/01/2024,03/01/2024,Settled,617488.84,Counterparty_18,Derivative,NGN
3658,01/01/2024,03/01/2024,Settled,511070.18,Counterparty_15,Bond,GBP
559,01/01/2024,08/01/2024,Delayed,755382.12,Counterparty_40,Derivative,EUR
4250,01/01/2024,08/01/2024,Delayed,969352.49,Counterparty_23,Bond,EUR
522,01/01/2024,08/01/2024,Delayed,381509.97,Counterparty_23,Stock,USD
5049,01/01/2024,03/01/2024,Settled,335108.08,Counterparty_20,FX,GBP
1083,01/01/2024,03/01/2024,Settled,418163.2,Counterparty_47,FX,USD
5889,01/01/2024,03/01/2024,Settled,801017.28,Counterparty_3,FX,GBP
2776,02/01/2024,04/01/2024,Settled,433383.19,Counterparty_46,Bond,GBP
2816,02/01/2024,04/01/2024,Settled,771855.28,Counterparty_22,Stock,EUR
1147,02/01/2024,04/01/2024,Settled,797628.6,Counterparty_34,Derivative,GBP
4894,02/01/2024,04/01/2024,Settled,241563.01,Counterparty_2,FX,NGN
303,02/01/2024,04/01/2024,Settled,541094.49,Counterparty_6,FX,GBP
979,02/01/2024,04/01/2024,Settled,496869.88,Counterparty_44,Bond,GBP
1457,02/01/2024,04/01/2024,Settled,689837.22,Counterparty_36,FX,GBP
9310,02/01/2024,04/01/2024,Settled,352004.58,Counterparty_49,Stock,EUR
7094,02/01/2024,04/01/2024,Settled,127975.51,Counterparty_42,Derivative,EUR
3896,02/01/2024,06/01/2024,Delayed,824647.05,Counterparty_45,Bond,EUR
5078,02/01/2024,04/01/2024,Settled,237373.17,Counterparty_41,Derivative,GBP
4358,02/01/2024,04/01/2024,Settled,626025.14,Counterparty_39,Stock,USD
3623,02/01/2024,04/01/2024,Settled,218989.33,Counterparty_18,FX,USD
8607,02/01/2024,04/01/2024,Settled,687777.34,Counterparty_10,Derivative,GBP
7932,02/01/2024,04/01/2024,Settled,769481.31,Counterparty_32,Bond,USD
7922,02/01/2024,04/01/2024,Settled,712359.92,Counterparty_24,FX,NGN
163,02/01/2024,04/01/2024,Settled,633896.18,Counterparty_49,Stock,EUR
421,02/01/2024,04/01/2024,Settled,791787.46,Counterparty_50,FX,USD
8801,03/01/2024,05/01/2024,Settled,763851.68,Counterparty_31,Derivative,GBP
5510,03/01/2024,09/01/2024,Delayed,464521.43,Counterparty_8,Derivative,USD
7344,03/01/2024,05/01/2024,Settled,489833.42,Counterparty_11,Stock,NGN
